state_abbr,city_name,AQI,latitude,longitude,population,Residential electricity consumption (MWh),Residential natural gas consumption (TcF),Commercial electricity consumption (MWh)
SD,Aberdeen,24.159663865546214,45.464678,-98.468104,27783,127581,426938,111733
WA,Aberdeen,23.03021978021978,46.976677,-123.809718,16335,74676,122241,74085
MI,Adrian,40.84487534626039,41.89878,-84.044829,20800,59743,480357,82882
OH,Akron,44.63387978142077,41.080456,-81.521429,198508,664915,6688421,478171
GA,Albany,39.52066115702479,31.578037,-84.176225,75657,428018,285460,359432
OR,Albany,24.86065573770492,44.626928,-123.096741,51919,188207,563484,249688
NM,Albuquerque,54.05191256830601,35.105552,-106.647388,556859,1443155,10327301,1790951
LA,Alexandria,32.794117647058826,31.293449,-92.470189,48044,272539,365664,395232
PA,Altoona,41.46994535519126,40.50819,-78.401306,45209,140444,1195013,116570
TX,Amarillo,41.6448087431694,35.199875,-101.830199,197570,775569,2862120,909716
GA,Americus,39.70204081632653,32.074377,-84.222829,16185,92763,31695,71616
IA,Ames,36.7122641509434,42.02602,-93.627747,64073,180930,984427,244312
AK,Anchorage,42.74863387978142,61.17425,-149.284329,299321,684402,12494797,1728597
MI,Ann Arbor,42.80327868852459,42.276147,-83.73086,118087,320488,2744848,579463
WI,Appleton,34.97994269340974,44.277947,-88.388264,73446,217353,1631608,203872
OK,Ardmore,42.852348993288594,34.193966,-97.124957,25027,127126,321092,124985
AR,Arkadelphia,33.28450704225352,34.124085,-93.072607,10728,41040,89208,28347
NC,Asheville,42.97267759562842,35.570977,-82.552738,87531,357267,701771,773872
OH,Ashtabula,44.455399061032864,41.87947,-80.798494,18540,63163,519999,71762
OH,Athens,27.216666666666665,39.326001,-82.098007,24365,68800,208545,72231
TN,Athens,34.739495798319325,35.457311,-84.604153,13651,81573,39985,66143
CA,Bakersfield,85.14480874316939,35.321213,-119.018291,367555,931232,4240296,440844
ME,Bangor,37.35792349726776,44.829625,-68.788767,32491,71217,204890,164513
WI,Baraboo,33.256830601092894,43.469408,-89.737289,12097,42992,225614,26651
MA,Barnstable Town,37.22375690607735,41.661478,-70.356951,44498,146446,1022630,166710
OK,Bartlesville,43.08759124087591,36.737668,-95.948454,36499,187256,613406,227021
LA,Baton Rouge,53.24316939890711,30.442174,-91.130894,228694,1314726,1450468,147474
MI,Bay City,30.591549295774648,43.590062,-83.888421,34110,109658,1137133,99874
WI,Beaver Dam,39.05737704918032,43.468105,-88.830899,16440,57233,363536,51801
WA,Bellingham,25.212034383954155,48.753442,-122.470179,84462,249072,1194530,256820
MN,Bemidji,20.318435754189945,47.483489,-94.883541,14664,61633,227380,37749
VT,Bennington,37.16666666666666,42.88499,-73.212642,15437,42692,7562,80654
MT,Billings,25.52321981424149,45.788534,-108.549892,109089,325679,2395241,423068
CA,Bishop,56.47540983606557,37.366381,-118.395808,3832,12287,48363,14793
ND,Bismarck,34.78415300546448,46.81327,-100.770103,68981,250666,1569398,311864
IL,Bloomington,39.96448087431694,40.475777,-88.969912,78368,276659,2275239,278565
IN,Bloomington,37.46218487394958,39.1637,-86.524264,83093,309076,892169,276496
ID,Boise City,51.13387978142077,43.600229,-116.231656,218677,822698,4458806,848206
CO,Boulder,34.48529411764706,40.026968,-105.251926,105420,254724,1970683,326984
KY,Bowling Green,43.62295081967213,36.970919,-86.438462,62824,293267,669733,433719
MT,Bozeman,31.756830601092897,45.683155,-111.053782,41761,133772,855609,197714
MN,Brainerd,29.439775910364144,46.355269,-94.198372,13440,42230,305855,52212
MO,Branson,34.05681818181818,36.645196,-93.264114,11158,64430,31331,214520
SD,Brookings,34.15890410958904,44.302325,-96.786483,23292,117986,311055,30879
GA,Brunswick,36.18075801749272,31.136149,-81.466936,15997,80815,98623,85822
MT,Butte-Silver Bow,28.868852459016395,45.895959,-112.660222,33708,106395,1062716,145656
MI,Cadillac,39.78142076502732,44.248143,-85.415876,10380,27642,412131,42297
MD,Cambridge,42.58743169398907,38.554063,-76.077116,12552,56105,29848,45754
WY,Casper,41.71857923497268,42.842101,-106.320524,59397,202375,1326200,200478
IA,Cedar Rapids,41.01912568306011,41.967048,-91.67776,129537,420538,2945545,473119
WA,Centralia,21.398907103825135,46.723086,-122.969619,16729,95823,128507,48460
WV,Charleston,34.9180790960452,38.348692,-81.632324,50210,277230,1062057,287438
VA,Charlottesville,35.96448087431694,38.037658,-78.485381,45538,199956,541813,375650
